strain,rep,iptg_transfers_stable,atc_transfers_stable,stability
1021,1,5,5,bistable
1021,2,2,5,lac_stable
1021,3,2,5,lac_stable
1022,1,1,5,lac_stable
1022,2,1,5,lac_stable
1022,3,1,5,lac_stable
1030,1,5,0,tet_stable
1030,2,5,1,tet_stable
1030,3,5,2,tet_stable
1032,1,1,5,lac_stable
1032,2,1,5,lac_stable
1032,3,1,5,lac_stable
1033,1,1,5,lac_stable
1033,2,1,5,lac_stable
1033,3,1,5,lac_stable
1043,1,5,5,bistable
1043,2,5,5,bistable
1043,3,5,5,bistable
1050,1,5,5,bistable
1050,2,5,5,bistable
1050,3,5,5,bistable
1051,1,5,5,bistable
1051,2,5,5,bistable
1051,3,5,5,bistable
1052,1,5,5,bistable
1052,2,5,5,bistable
1052,3,5,5,bistable
1053,1,5,5,bistable
1053,2,5,5,bistable
1053,3,5,5,bistable
2021,1,5,5,bistable
2021,2,2,5,lac_stable
2021,3,5,5,bistable
2022,1,1,5,lac_stable
2022,2,1,5,lac_stable
2022,3,1,5,lac_stable
2030,1,5,5,bistable
2030,2,5,5,bistable
2030,3,5,5,bistable
2032,1,1,5,lac_stable
2032,2,1,5,lac_stable
2032,3,1,5,lac_stable
2033,1,0,5,lac_stable
2033,2,1,5,lac_stable
2033,3,1,5,lac_stable
2043,1,5,5,bistable
2043,2,5,5,bistable
2043,3,5,5,bistable
2050,1,5,5,bistable
2050,2,5,5,bistable
2050,3,5,5,bistable
2051,1,5,5,bistable
2051,2,5,5,bistable
2051,3,5,5,bistable
2052,1,5,5,bistable
2052,2,5,5,bistable
2052,3,5,5,bistable
2053,1,5,5,bistable
2053,2,5,5,bistable
2053,3,5,5,bistable
2121,1,5,0,tet_stable
2121,2,5,0,tet_stable
2121,3,5,0,tet_stable
2122,1,2,2,unstable
2122,2,2,1,unstable
2122,3,1,1,unstable
2130,1,5,0,tet_stable
2130,2,5,0,tet_stable
2130,3,5,1,tet_stable
2132,1,2,5,lac_stable
2132,2,1,5,lac_stable
2132,3,1,5,lac_stable
2133,1,1,5,lac_stable
2133,2,1,5,lac_stable
2133,3,1,5,lac_stable
2143,1,5,5,bistable
2143,2,5,5,bistable
2143,3,5,5,bistable
2150,1,5,5,bistable
2150,2,5,5,bistable
2150,3,5,5,bistable
2151,1,5,5,bistable
2151,2,5,5,bistable
2151,3,5,5,bistable
2152,1,5,5,bistable
2152,2,5,5,bistable
2152,3,5,5,bistable
2153,1,5,5,bistable
2153,2,5,5,bistable
2153,3,5,5,bistable
3021,1,5,5,bistable
3021,2,5,5,bistable
3021,3,5,5,bistable
3022,1,1,5,lac_stable
3022,2,1,5,lac_stable
3022,3,1,5,lac_stable
3030,1,5,5,bistable
3030,2,5,5,bistable
3030,3,5,5,bistable
3032,1,5,5,bistable
3032,2,5,5,bistable
3032,3,2,5,lac_stable
3033,1,1,2,unstable
3033,2,1,5,lac_stable
3033,3,1,2,unstable
3043,1,5,5,bistable
3043,2,5,5,bistable
3043,3,5,5,bistable
3050,1,5,5,bistable
3050,2,5,5,bistable
3050,3,5,5,bistable
3051,1,5,5,bistable
3051,2,5,5,bistable
3051,3,5,5,bistable
3052,1,5,5,bistable
3052,2,5,5,bistable
3052,3,5,5,bistable
3053,1,5,5,bistable
3053,2,5,5,bistable
3053,3,5,5,bistable
3321,1,5,0,tet_stable
3321,2,5,0,tet_stable
3321,3,5,0,tet_stable
3322,1,5,1,tet_stable
3322,2,5,1,tet_stable
3322,3,5,1,tet_stable
3330,1,5,1,tet_stable
3330,2,5,1,tet_stable
3330,3,5,0,tet_stable
3332,1,5,2,tet_stable
3332,2,0,2,unstable
3332,3,0,2,unstable
3333,1,1,5,lac_stable
3333,2,1,5,lac_stable
3333,3,1,5,lac_stable
3343,1,5,5,bistable
3343,2,5,5,bistable
3343,3,5,5,bistable
3350,1,5,5,bistable
3350,2,5,5,bistable
3350,3,5,5,bistable
3351,1,5,5,bistable
3351,2,5,5,bistable
3351,3,5,5,bistable
3352,1,5,5,bistable
3352,2,5,5,bistable
3352,3,5,5,bistable
3353,1,5,5,bistable
3353,2,5,5,bistable
3353,3,5,5,bistable
4021,1,5,2,tet_stable
4021,2,5,5,bistable
4021,3,5,2,tet_stable
4022,1,5,5,bistable
4022,2,5,5,bistable
4022,3,5,5,bistable
4030,1,5,5,bistable
4030,2,5,5,bistable
4030,3,5,5,bistable
4032,1,5,5,bistable
4032,2,5,5,bistable
4032,3,5,5,bistable
4033,1,1,5,lac_stable
4033,2,1,5,lac_stable
4033,3,1,5,lac_stable
4043,1,5,5,bistable
4043,2,1,5,lac_stable
4043,3,5,5,bistable
4050,1,5,5,bistable
4050,2,5,5,bistable
4050,3,5,5,bistable
4051,1,5,5,bistable
4051,2,5,5,bistable
4051,3,5,5,bistable
4052,1,5,5,bistable
4052,2,5,5,bistable
4052,3,5,5,bistable
4053,1,5,5,bistable
4053,2,5,5,bistable
4053,3,5,5,bistable
4221,1,5,0,tet_stable
4221,2,5,0,tet_stable
4221,3,5,1,tet_stable
4222,1,5,5,bistable
4222,2,5,5,bistable
4222,3,2,5,lac_stable
4230,1,5,5,bistable
4230,2,5,5,bistable
4230,3,5,5,bistable
4232,1,5,5,bistable
4232,2,5,5,bistable
4232,3,5,5,bistable
4233,1,1,1,unstable
4233,2,1,2,unstable
4233,3,1,5,lac_stable
4243,1,5,5,bistable
4243,2,5,5,bistable
4243,3,5,5,bistable
4250,1,5,5,bistable
4250,2,5,5,bistable
4250,3,5,5,bistable
4251,1,5,5,bistable
4251,2,5,5,bistable
4251,3,5,5,bistable
4252,1,5,5,bistable
4252,2,5,5,bistable
4252,3,5,5,bistable
4253,1,5,5,bistable
4253,2,5,5,bistable
4253,3,5,5,bistable
4321,1,5,0,tet_stable
4321,2,5,2,tet_stable
4321,3,5,2,tet_stable
4322,1,5,2,tet_stable
4322,2,5,1,tet_stable
4322,3,5,1,tet_stable
4330,1,5,5,bistable
4330,2,5,2,tet_stable
4330,3,5,5,bistable
4332,1,5,5,bistable
4332,2,0,5,lac_stable
4332,3,5,5,bistable
4333,1,1,2,unstable
4333,2,1,2,unstable
4333,3,5,5,bistable
4343,1,5,5,bistable
4343,2,5,5,bistable
4343,3,5,5,bistable
4350,1,5,5,bistable
4350,2,5,5,bistable
4350,3,5,5,bistable
4351,1,5,5,bistable
4351,2,5,5,bistable
4351,3,5,5,bistable
4352,1,5,5,bistable
4352,2,5,2,tet_stable
4352,3,5,5,bistable
4353,1,5,5,bistable
4353,2,5,5,bistable
4353,3,5,5,bistable
5221,1,5,5,bistable
5221,2,0,5,lac_stable
5221,3,0,5,lac_stable
5222,1,0,1,unstable
5222,2,0,1,unstable
5222,3,0,5,lac_stable
5230,1,5,1,tet_stable
5230,2,5,1,tet_stable
5230,3,5,1,tet_stable
5232,1,0,5,lac_stable
5232,2,0,5,lac_stable
5232,3,0,5,lac_stable
5233,1,0,5,lac_stable
5233,2,0,5,lac_stable
5233,3,0,5,lac_stable
5243,1,5,5,bistable
5243,2,5,5,bistable
5243,3,5,5,bistable
5250,1,5,5,bistable
5250,2,5,5,bistable
5250,3,5,5,bistable
5251,1,5,5,bistable
5251,2,5,5,bistable
5251,3,5,5,bistable
5252,1,5,5,bistable
5252,2,5,5,bistable
5252,3,5,5,bistable
5253,1,5,5,bistable
5253,2,5,5,bistable
5253,3,5,5,bistable
5321,1,5,1,tet_stable
5321,2,5,1,tet_stable
5321,3,5,1,tet_stable
5322,1,5,1,tet_stable
5322,2,5,0,tet_stable
5322,3,5,5,bistable
5330,1,5,0,tet_stable
5330,2,5,1,tet_stable
5330,3,5,1,tet_stable
5332,1,5,5,bistable
5332,2,5,5,bistable
5332,3,5,5,bistable
5333,1,0,5,lac_stable
5333,2,0,5,lac_stable
5333,3,0,5,lac_stable
5343,1,5,5,bistable
5343,2,5,5,bistable
5343,3,5,5,bistable
5350,1,5,5,bistable
5350,2,5,5,bistable
5350,3,5,5,bistable
5351,1,5,5,bistable
5351,2,5,5,bistable
5351,3,5,5,bistable
5352,1,5,5,bistable
5352,2,5,5,bistable
5352,3,5,5,bistable
5353,1,5,5,bistable
5353,2,5,5,bistable
5353,3,5,5,bistable
